player_id,timestamp,net_now,net_prev,velocity
306,2025-12-22_13-48-26,11,0,-11
307,2025-12-22_13-48-26,2,0,-2
308,2025-12-22_13-48-26,-3,0,3
309,2025-12-22_13-48-26,0,0,0
310,2025-12-22_13-48-26,150,0,-150
311,2025-12-22_13-48-26,-262,0,262
312,2025-12-22_13-48-26,-1,0,1
313,2025-12-22_13-48-26,-11,0,11
419,2025-12-22_13-48-26,2612,0,-2612
630,2025-12-22_13-48-26,-36,0,36
667,2025-12-22_13-48-26,1,0,-1
704,2025-12-22_13-48-26,-2,0,2
705,2025-12-22_13-48-26,-1,0,1
707,2025-12-22_13-48-26,10,0,-10
728,2025-12-22_13-48-26,0,0,0
314,2025-12-22_13-48-26,-106,0,106
315,2025-12-22_13-48-26,0,0,0
316,2025-12-22_13-48-26,188,0,-188
317,2025-12-22_13-48-26,-194,0,194
318,2025-12-22_13-48-26,-356,0,356
319,2025-12-22_13-48-26,5,0,-5
320,2025-12-22_13-48-26,-8,0,8
321,2025-12-22_13-48-26,6,0,-6
322,2025-12-22_13-48-26,30,0,-30
323,2025-12-22_13-48-26,-9,0,9
324,2025-12-22_13-48-26,-574,0,574
325,2025-12-22_13-48-26,335,0,-335
326,2025-12-22_13-48-26,0,0,0
327,2025-12-22_13-48-26,-2,0,2
328,2025-12-22_13-48-26,-222,0,222
329,2025-12-22_13-48-26,17233,0,-17233
330,2025-12-22_13-48-26,4,0,-4
331,2025-12-22_13-48-26,3,0,-3
332,2025-12-22_13-48-26,-14,0,14
333,2025-12-22_13-48-26,-1,0,1
334,2025-12-22_13-48-26,0,0,0
335,2025-12-22_13-48-26,-353,0,353
336,2025-12-22_13-48-26,-23,0,23
337,2025-12-22_13-48-26,-1358,0,1358
338,2025-12-22_13-48-26,-91,0,91
664,2025-12-22_13-48-26,10,0,-10
727,2025-12-22_13-48-26,-397,0,397
731,2025-12-22_13-48-26,-4,0,4
737,2025-12-22_13-48-26,-5,0,5
339,2025-12-22_13-48-26,-20,0,20
340,2025-12-22_13-48-26,-2,0,2
341,2025-12-22_13-48-26,12,0,-12
342,2025-12-22_13-48-26,49,0,-49
343,2025-12-22_13-48-26,54,0,-54
344,2025-12-22_13-48-26,507,0,-507
345,2025-12-22_13-48-26,8,0,-8
346,2025-12-22_13-48-26,-9,0,9
347,2025-12-22_13-48-26,687,0,-687
348,2025-12-22_13-48-26,64,0,-64
349,2025-12-22_13-48-26,-7,0,7
350,2025-12-22_13-48-26,45,0,-45
351,2025-12-22_13-48-26,-4,0,4
352,2025-12-22_13-48-26,6,0,-6
353,2025-12-22_13-48-26,-21,0,21
354,2025-12-22_13-48-26,370,0,-370
355,2025-12-22_13-48-26,0,0,0
356,2025-12-22_13-48-26,30,0,-30
357,2025-12-22_13-48-26,-1,0,1
358,2025-12-22_13-48-26,-13,0,13
359,2025-12-22_13-48-26,0,0,0
360,2025-12-22_13-48-26,0,0,0
361,2025-12-22_13-48-26,-1,0,1
362,2025-12-22_13-48-26,-33,0,33
363,2025-12-22_13-48-26,-26,0,26
364,2025-12-22_13-48-26,0,0,0
365,2025-12-22_13-48-26,-310,0,310
493,2025-12-22_13-48-26,-138,0,138
660,2025-12-22_13-48-26,4659,0,-4659
665,2025-12-22_13-48-26,3,0,-3
691,2025-12-22_13-48-26,16121,0,-16121
698,2025-12-22_13-48-26,21,0,-21
706,2025-12-22_13-48-26,3,0,-3
741,2025-12-22_13-48-26,9,0,-9
366,2025-12-22_13-48-26,1557,0,-1557
367,2025-12-22_13-48-26,-157,0,157
368,2025-12-22_13-48-26,-33,0,33
369,2025-12-22_13-48-26,-15,0,15
370,2025-12-22_13-48-26,1135,0,-1135
371,2025-12-22_13-48-26,377,0,-377
372,2025-12-22_13-48-26,-46,0,46
373,2025-12-22_13-48-26,4213,0,-4213
374,2025-12-22_13-48-26,2009,0,-2009
375,2025-12-22_13-48-26,-91,0,91
376,2025-12-22_13-48-26,-68,0,68
377,2025-12-22_13-48-26,-3,0,3
378,2025-12-22_13-48-26,-62,0,62
379,2025-12-22_13-48-26,-14,0,14
380,2025-12-22_13-48-26,-33,0,33
381,2025-12-22_13-48-26,-3032,0,3032
382,2025-12-22_13-48-26,15968,0,-15968
383,2025-12-22_13-48-26,-3,0,3
384,2025-12-22_13-48-26,-3062,0,3062
385,2025-12-22_13-48-26,233,0,-233
386,2025-12-22_13-48-26,913,0,-913
387,2025-12-22_13-48-26,-7994,0,7994
388,2025-12-22_13-48-26,313,0,-313
390,2025-12-22_13-48-26,3668,0,-3668
392,2025-12-22_13-48-26,-10,0,10
393,2025-12-22_13-48-26,-2,0,2
