player_id,net_transfers_delta,timestamp
686,34,2025-12-24_07-02-06
692,0,2025-12-24_07-02-06
746,1,2025-12-24_07-02-06
760,1,2025-12-24_07-02-06
182,-12,2025-12-24_07-02-06
399,-6,2025-12-24_07-02-06
400,-2,2025-12-24_07-02-06
401,1,2025-12-24_07-02-06
402,-53,2025-12-24_07-02-06
403,287,2025-12-24_07-02-06
404,-2,2025-12-24_07-02-06
405,-6,2025-12-24_07-02-06
406,-3,2025-12-24_07-02-06
407,315,2025-12-24_07-02-06
408,219,2025-12-24_07-02-06
409,-10,2025-12-24_07-02-06
410,-23,2025-12-24_07-02-06
411,314,2025-12-24_07-02-06
412,0,2025-12-24_07-02-06
413,-24,2025-12-24_07-02-06
414,1465,2025-12-24_07-02-06
415,6,2025-12-24_07-02-06
416,-11,2025-12-24_07-02-06
417,778,2025-12-24_07-02-06
418,-706,2025-12-24_07-02-06
420,0,2025-12-24_07-02-06
421,-3,2025-12-24_07-02-06
422,1,2025-12-24_07-02-06
423,-1,2025-12-24_07-02-06
424,-3,2025-12-24_07-02-06
425,0,2025-12-24_07-02-06
427,164,2025-12-24_07-02-06
428,0,2025-12-24_07-02-06
429,-1,2025-12-24_07-02-06
430,311,2025-12-24_07-02-06
736,19,2025-12-24_07-02-06
739,-1,2025-12-24_07-02-06
740,0,2025-12-24_07-02-06
742,0,2025-12-24_07-02-06
763,0,2025-12-24_07-02-06
764,0,2025-12-24_07-02-06
119,-1676,2025-12-24_07-02-06
431,-6,2025-12-24_07-02-06
432,0,2025-12-24_07-02-06
433,0,2025-12-24_07-02-06
434,-2,2025-12-24_07-02-06
435,-1,2025-12-24_07-02-06
436,-125,2025-12-24_07-02-06
437,24,2025-12-24_07-02-06
438,-5,2025-12-24_07-02-06
439,0,2025-12-24_07-02-06
440,46,2025-12-24_07-02-06
441,11,2025-12-24_07-02-06
442,-7,2025-12-24_07-02-06
443,0,2025-12-24_07-02-06
444,-14,2025-12-24_07-02-06
445,0,2025-12-24_07-02-06
446,-1,2025-12-24_07-02-06
447,107,2025-12-24_07-02-06
448,-2,2025-12-24_07-02-06
449,-10158,2025-12-24_07-02-06
450,2759,2025-12-24_07-02-06
451,0,2025-12-24_07-02-06
452,-79,2025-12-24_07-02-06
454,-1,2025-12-24_07-02-06
455,177,2025-12-24_07-02-06
457,92,2025-12-24_07-02-06
458,-18,2025-12-24_07-02-06
459,-1,2025-12-24_07-02-06
460,0,2025-12-24_07-02-06
461,0,2025-12-24_07-02-06
462,9,2025-12-24_07-02-06
463,2,2025-12-24_07-02-06
464,0,2025-12-24_07-02-06
465,0,2025-12-24_07-02-06
466,-26,2025-12-24_07-02-06
467,60,2025-12-24_07-02-06
468,0,2025-12-24_07-02-06
681,27,2025-12-24_07-02-06
733,-45,2025-12-24_07-02-06
755,2,2025-12-24_07-02-06
769,0,2025-12-24_07-02-06
52,4,2025-12-24_07-02-06
135,-20,2025-12-24_07-02-06
469,-175,2025-12-24_07-02-06
471,-9,2025-12-24_07-02-06
472,0,2025-12-24_07-02-06
473,22,2025-12-24_07-02-06
474,-72,2025-12-24_07-02-06
475,-11,2025-12-24_07-02-06
476,-774,2025-12-24_07-02-06
477,-233,2025-12-24_07-02-06
478,-40,2025-12-24_07-02-06
479,0,2025-12-24_07-02-06
480,-6,2025-12-24_07-02-06
481,-2,2025-12-24_07-02-06
482,-1,2025-12-24_07-02-06
483,-1,2025-12-24_07-02-06
484,-1,2025-12-24_07-02-06
485,893,2025-12-24_07-02-06
486,-16,2025-12-24_07-02-06
487,-93,2025-12-24_07-02-06
488,-389,2025-12-24_07-02-06
489,4,2025-12-24_07-02-06
490,4,2025-12-24_07-02-06
491,17,2025-12-24_07-02-06
492,-1,2025-12-24_07-02-06
494,1,2025-12-24_07-02-06
495,0,2025-12-24_07-02-06
496,0,2025-12-24_07-02-06
497,348,2025-12-24_07-02-06
498,0,2025-12-24_07-02-06
500,-7,2025-12-24_07-02-06
501,-4,2025-12-24_07-02-06
674,-59,2025-12-24_07-02-06
684,-116,2025-12-24_07-02-06
689,-5,2025-12-24_07-02-06
714,634,2025-12-24_07-02-06
753,-1,2025-12-24_07-02-06
765,2,2025-12-24_07-02-06
12,-1,2025-12-24_07-02-06
426,-3,2025-12-24_07-02-06
502,-98,2025-12-24_07-02-06
503,-1,2025-12-24_07-02-06
504,-2,2025-12-24_07-02-06
505,-96,2025-12-24_07-02-06
506,-14,2025-12-24_07-02-06
507,-21,2025-12-24_07-02-06
508,-88,2025-12-24_07-02-06
509,0,2025-12-24_07-02-06
510,0,2025-12-24_07-02-06
511,6,2025-12-24_07-02-06
512,0,2025-12-24_07-02-06
513,23,2025-12-24_07-02-06
514,1,2025-12-24_07-02-06
515,-99,2025-12-24_07-02-06
516,14,2025-12-24_07-02-06
517,-87,2025-12-24_07-02-06
518,0,2025-12-24_07-02-06
519,0,2025-12-24_07-02-06
520,0,2025-12-24_07-02-06
521,-1,2025-12-24_07-02-06
522,-1,2025-12-24_07-02-06
523,-1,2025-12-24_07-02-06
524,0,2025-12-24_07-02-06
525,-63,2025-12-24_07-02-06
526,-66,2025-12-24_07-02-06
527,5,2025-12-24_07-02-06
669,-65,2025-12-24_07-02-06
675,0,2025-12-24_07-02-06
693,5,2025-12-24_07-02-06
696,-1,2025-12-24_07-02-06
699,4,2025-12-24_07-02-06
715,5,2025-12-24_07-02-06
716,-14,2025-12-24_07-02-06
729,0,2025-12-24_07-02-06
734,0,2025-12-24_07-02-06
528,-2,2025-12-24_07-02-06
529,-1,2025-12-24_07-02-06
530,0,2025-12-24_07-02-06
531,326,2025-12-24_07-02-06
532,17,2025-12-24_07-02-06
533,0,2025-12-24_07-02-06
534,0,2025-12-24_07-02-06
535,0,2025-12-24_07-02-06
536,0,2025-12-24_07-02-06
537,-1,2025-12-24_07-02-06
