player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status,net_transfers_delta,price_change,velocity,trend_score
213,Jaydon Banel,Banel,Burnley,4.5,0.0,46,43,0.0,0,a,0,0.0,-7.333333333333333,-4.466666666666618
214,Mike Trésor Ndayishimiye,Trésor,Burnley,4.4,0.1,44,95,0.5,17,a,-2,0.0,-1.0,-4.533333333333284
215,Zian Flemming,Flemming,Burnley,5.3,0.6,722,2059,2.5,660,a,-61,0.0,-21.0,-8.733333333333285
216,Zeki Amdouni,Amdouni,Burnley,4.8,0.0,5,15,0.0,0,i,0,0.0,-21.0,-11.533333333333285
217,Lyle Foster,Foster,Burnley,4.9,0.9,32,1533,1.2,866,n,-35,0.0,-32.0,-16.46666666666662
218,Ashley Barnes,Barnes,Burnley,4.3,1.2,517,1001,0.0,7,a,-19,0.0,-18.0,-18.599999999999948
219,Michael Obafemi,Obafemi,Burnley,4.4,0.1,0,40,0.0,0,u,0,0.0,-18.0,-21.99999999999995
470,Martin Dúbravka,Dúbravka,Burnley,4.0,33.4,6340,5120,3.3,1620,a,143,0.0,41.333333333333336,-9.533333333333283
676,Lesley Ugochukwu,Ugochukwu,Burnley,5.0,0.1,170,209,3.0,1051,a,-1,0.0,47.333333333333336,4.133333333333383
680,Armando Broja,Broja,Burnley,5.2,0.2,497,301,2.5,398,a,9,0.0,50.333333333333336,20.60000000000005
722,Florentino Ibrain Morris Luís,Florentino,Burnley,5.0,0.0,23,67,2.0,1046,a,-3,0.0,1.6666666666666667,24.53333333333338
66,Norberto Murara Neto,Neto,Bournemouth,4.5,0.1,0,25,0.0,0,u,0,0.0,2.0,28.53333333333338
67,Đorđe Petrović,Petrović,Bournemouth,4.5,5.4,364,8220,2.2,1620,a,-233,0.0,-78.66666666666667,4.533333333333379
68,Will Dennis,Dennis,Bournemouth,4.0,0.9,75,331,0.0,0,a,-8,0.0,-80.33333333333333,-20.99999999999995
69,Callan McKenna,McKenna,Bournemouth,3.9,0.2,305,82,0.0,0,a,8,0.0,-77.66666666666667,-46.59999999999995
70,Alex Paulsen,Paulsen,Bournemouth,4.0,0.1,0,19,0.0,0,u,-4,0.0,-1.3333333333333333,-47.19999999999995
71,Illia Zabarnyi,Zabarnyi,Bournemouth,5.0,0.0,0,3,0.0,0,u,0,0.0,1.3333333333333333,-47.33333333333329
